Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Open,South Africa,Devon Smit,1888,7,6,190,42,53,11,Level C
2,Open,South Africa,Yashil Modi,2099,7,6,230,44,50,6,Level B
3,Open,Morocco,Youssef Elharrak,1084,7,5,204,53,54,1,Level C
4,Open,Angola,Domingos Junior,1894,7,3.5,152,51,49,-2,Level C
5,Open,South Africa,Michal Oosthuizen,1920,7,5,241,48,46,-2,Level B
6,Girls,Morocco,Ahlam Makhlouf,1419,7,6,180,53,46,-7,Level B
7,Girls,Algeria,INES BELATTAR,1729,7,3,204,53,44,-9,Level A
8,Open,Madagascar,Rakotoarisoa Itokiana,1660,6,3,114,56,46,-10,Level B
9,Open,Botswana,Botlhe Sonkhe Lekang Lekang,1635,6,2,197,61,50,-11,Level B
10,Open,Libya,Almuetasim Billalah Mohammed Saeid Masoud,,3,0,58,56,43,-13,Level B
11,Girls,Tunisia,Miladi Amen,1761,6,4,143,67,45,-22,Level A
12,Girls,,Renelsa Taiane Antonio,1292,6,3,268,66,44,-22,Level B
13,Open,Tunisia,Boulaares Adam,1759,7,4,184,73,45,-28,Level B
14,Girls,Botswana,Refilwe Gabatshwarwe,1750,7,5.5,223,67,37,-30,Level A
15,Girls,,Angel-Jordan QUANSAH,,7,3.5,149,67,36,-31,Level A
16,Open,Kenya,Viraj Shah,1377,7,3.5,169,76,43,-33,Level B
17,Girls,Botswana,Otisitswe Ruth,1591,7,4,241,70,36,-34,Level A
18,Open,Egypt,Yehya Azab,1334,6,2,109,78,43,-35,Level B
19,Open,Namibia,Jazzmo Kotzee,1132,7,3,103,77,40,-37,Level A
20,Girls,South Africa,Anje Van Jaarsveld,1312,7,4,189,74,36,-38,Level A
21,Open,Mauritania,El Hadj Ahmed Abdellahi,,6,2,115,90,51,-39,Level B
22,Girls,Tunisia,Hwass Zaineb,1440,4,2,106,72,33,-39,Level A
23,Open,Malawi,BRANDON AGIUS,,6,0,163,81,37,-44,Level B
24,Girls,Kenya,NAIYA GOSRANI,1331,7,5,187,86,39,-47,Level A
25,Open,Libya,Yousef A Alhosadi,1958,3,1,21,93,38,-55,Level A
26,Girls,Namibia,Keisha-Cathriona Van-Wyk,1121,6,2,108,102,43,-59,Level A
27,Girls,Egypt,Juneer Maged,1226,7,3,196,107,40,-67,Level A
28,Girls,Malawi,Caroline Trapence,,6,1.5,122,113,39,-74,Level A
29,Girls,Madagascar,Ramarolafy Grace Gloria,1174,6,1.5,106,111,27,-84,Level A
30,Girls,Libya,SOUAD MOTAZ BASHIR ALRAIS,,6,0,74,172,28,-144,Level A
