Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Girls,Tunisia,Chihi Ghada,1161,6,2,30,52,50,-2,Level A
2,Open,South Africa,Michael Simpson,1761,7,5.5,287,52,46,-6,Level A
3,Open,Morocco,Rayane Chaoui,1572,7,5,192,61,49,-12,Level A
4,Open,Tunisia,Najjar Seif,1516,5,2,181,61,48,-13,Level A
5,Girls,,Naledi Marape,1689,7,6,284,68,43,-25,Level A
6,Girls,South Africa,Chloe Badenhorst,1353,7,4,220,68,42,-26,Level A
7,Open,Kenya,Reeyan Gosrani,1265,7,4.5,230,69,41,-28,Level A
8,Open,Morocco,Mohamed-Jad Toumi,1824,6,4,154,69,40,-29,Level A
9,Girls,Morocco,Hiba Ait Bentaleb,,7,3,227,79,48,-31,Level A
10,Girls,,Jemima Paulo,1599,7,4.5,284,76,45,-31,Level A
11,Open,Libya,ABDELMUHAIMEN MOHAMED ALI THABET,,6,2,110,82,47,-35,Level A
12,Girls,South Africa,Anri De Villiers,1415,7,5.5,242,73,35,-38,Level A
13,Open,Mauritania,Mohamed Abderrahim Taleb Mohamed,1811,7,5,213,85,45,-40,Level A
14,Girls,Malawi,Priyasha Santosh Shriyan,1067,7,5,222,74,32,-42,Level A
15,Open,Namibia,Alexander Bertelsmann,1303,6,2,116,81,38,-43,Level A
16,Open,Botswana,Musa Munyere,1612,6,3,163,94,42,-52,Level A
17,Girls,,Natalie Katio Banda,1481,7,3.5,163,90,37,-53,Level A
18,Girls,Egypt,Mareim Mohamed Azzab,1024,7,4,162,94,39,-55,Level A
19,Girls,Madagascar,Randriamanjato Manatia Amielle,1350,6,1,65,86,31,-55,Level A
20,Open,Egypt,Amr Khaled Mohamed,1238,7,4,148,102,44,-58,Level A
21,Girls,South Africa,Thato Matshego,,7,2,168,100,42,-58,Level A
22,Open,Madagascar,Andriamanalimanana Tsiresy Haja,1316,5,1,37,107,41,-66,Level A
23,Girls,Kenya,Neema Kahihu,,7,3.5,165,110,36,-74,Level A
24,Open,Ghana,Conrad Nunyuie Atsy Akaba,,6,1,106,113,37,-76,Level A
25,Open,Malawi,LUNGILE MENDULO,1259,7,2,108,116,31,-85,Level A
26,Girls,Libya,Aiah Elzurgani,,7,2,111,137,29,-108,Level A
27,Girls,Ghana,Mimi Sophia QUASHIE-SAM,,7,2,67,225,25,-200,Level A
