Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Girls,Egypt,Joy Romany,1482,7,7,233,54,46,-8,Level B
2,Girls,South Africa,Davida Strong,1280,7,5,279,53,43,-10,Level A
3,Open,Kenya,KEN Austin Mwiti Muriungi,,6,2,135,57,44,-13,Level B
4,Open,,Omar salah Fates,1422,6,3,245,57,41,-16,Level A
5,Girls,Namibia,Jamie-Nicole Beukes,1121,7,3,160,67,42,-25,Level A
6,Open,Egypt,Ahmed Kandil,1934,7,5.5,294,68,42,-26,Level A
7,Open,Egypt,Micheal Kevin George,1872,7,6,295,70,42,-28,Level A
8,Open,Egypt,Martin Mena,1789,7,6.5,219,75,44,-31,Level A
9,Open,Botswana,Thuto Mpene,1626,7,4,220,72,41,-31,Level A
10,Open,South Africa,Calvin Nicholas Jacobs,1333,7,3,243,72,40,-32,Level A
11,Girls,Morocco,Kenza Tabich,,7,6,191,74,39,-35,Level A
12,Open,Madagascar,Hasinjaranirina Jao,,6,2,140,74,38,-36,Level A
13,Open,Egypt,Mathew Maged,1438,7,4,231,81,44,-37,Level A
14,Girls,South Africa,Sanjana Ramlall,,7,3.5,274,78,40,-38,Level A
15,Girls,Algeria,Yara Mayar Aouachria,1110,7,4,225,77,39,-38,Level A
16,Open,Tunisia,Kourda Chedy,1177,6,2,125,82,38,-44,Level A
17,Open,Morocco,Mohamed Khalil Najimi,,6,3,232,89,44,-45,Level A
18,Open,Namibia,Daniel Mouton,1005,6,1,157,84,36,-48,Level A
19,Girls,,Laone Moshoboro Moshoboro,1178,7,3.5,225,83,34,-49,Level A
20,Girls,Malawi,Lakshita Dutt,901,7,3,206,83,34,-49,Level A
21,Girls,Madagascar,Randrianarison Hasiniaina Angelinah,,7,4,78,84,33,-51,Level A
22,Girls,Egypt,Nardin Ehab Wagieh,,7,2,190,91,36,-55,Level A
23,Girls,South Africa,Amahle Zenzile,1319,7,4,201,89,33,-56,Level A
24,Girls,Libya,Ghalya Faraj A Alguttani,,7,2,109,122,38,-84,Level A
25,Girls,Tunisia,Ben Salem Meriem,1087,7,3,72,146,32,-114,Level A
26,Girls,Cape Verde,KATLENE MARTINS,,7,3,120,174,36,-138,Level A
27,Girls,Madagascar,Randriamaharo Mitia,1280,6,1,59,179,36,-143,Level A
28,Girls,Kenya,Erica Muturi,1042,6,1,141,180,32,-148,Level A
29,Open,Ghana,Kimathi Dziedzorm KUENYEHIA II,,6,0,59,225,22,-203,Level A
