Sort,Section,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,Open,,Judah Nathan Levitan,1250,7,3.5,223,59,51,-8,Level A
2,Open,Egypt,Mohamed Adham Hossam,1482,7,4.5,234,57,47,-10,Level A
3,Girls,Morocco,Lilya Chemaou,,7,7,188,57,47,-10,Level A
4,Open,South Africa,Raphael Felix,1308,7,6,198,60,48,-12,Level A
5,Open,,Shaun Levitan,1520,7,7,146,60,47,-13,Level A
6,Open,Egypt,Samir David George,1792,7,4,207,66,49,-17,Level A
7,Open,,Leonel Joaquim Soares,1619,7,4.5,151,64,46,-18,Level A
8,Girls,Algeria,NOUHA LAMIS AOUACHRIA,,7,4.5,187,59,40,-19,Level A
9,Open,Egypt,Wael Mina Sabry,1466,7,4,231,65,42,-23,Level A
10,Girls,,NAILA NOUR RAMOUL,1334,7,5,151,68,44,-24,Level A
11,Open,Tunisia,Chelly Yahya,1187,7,3.5,214,66,42,-24,Level A
12,Open,Mauritania,Mohamed Hemam,,7,4,187,76,48,-28,Level A
13,Open,Madagascar,Ramaroson Roy Valhero,1215,7,3.5,129,71,42,-29,Level A
14,Girls,Madagascar,Bakotsihoara Bakotsihoara Bakotsihoara Bakots Rojoniana Fitahiana,1284,7,3,113,78,41,-37,Level A
15,Open,Egypt,Adham Mostafa Mohamed,,7,3,225,79,41,-38,Level A
16,Girls,Egypt,Salma Hawas,1130,7,6,131,80,40,-40,Level A
17,Open,Morocco,Jad El Bakkali,,7,4,158,89,48,-41,Level A
18,,,,,6,4,142,95,49,-46,Level A
19,Open,Ghana,Dave Chief Quansah Acheampong,,7,3,223,88,41,-47,Level A
20,Open,Madagascar,Rabarison Ny Andolalaina Fitia Noah,1437,7,3,179,97,41,-56,Level A
21,Girls,Botswana,Phoebe Joanna Benjamin       11321970 Benjamin,,7,4,140,95,37,-58,Level A
22,Open,Kenya,Bradley Wathimba,,7,4,133,113,40,-73,Level A
23,Girls,Kenya,KEN Cherise Gacheri Muriungi,1106,6,2,132,107,33,-74,Level A
24,Open,Libya,OTHMAN ABUOJAYLAH OTHMAN KURNAF,,7,2.5,176,119,39,-80,Level A
25,Girls,Tunisia,Majdoub Alea,,7,3,92,122,35,-87,Level A
26,Girls,,JANVI SHAH,1106,7,3.5,140,128,36,-92,Level A
27,Girls,Madagascar,Lalasoa Miarana Irinah,1285,7,4,115,122,29,-93,Level A
28,Open,Libya,Faraj A Alguttani,1385,5,1,97,136,37,-99,Level A
29,Girls,Malawi,Jayloss Rachel,,7,2,88,133,31,-102,Level A
30,Open,Botswana,Clyde Molosiwa Molosiwa,,6,1,119,136,33,-103,Level A
31,Girls,Libya,Rahf Alhassi,,7,3,109,132,28,-104,Level A
32,Open,Malawi,ASHER JAYLOSS,,7,2,60,142,35,-107,Level A
33,Girls,,JANKI SHAH,1155,7,2.5,133,143,27,-116,Level A
34,Open,Namibia,Fidel Boois,,6,0,101,156,26,-130,Level A
35,Girls,Namibia,Hilde Boois,,7,2.5,97,178,24,-154,Level A
36,Girls,Ghana,Kathryn Nukunu TAGBOTO,,7,1,73,203,30,-173,Level A
37,Girls,Madagascar,Randriamaharo Mirindra,,2,0,0,0,0,,Level A
